Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_shopby-pro-admin/a__MailManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:11,2022-01-17 09:03:12,0.848s,PASSED
,,,,,,,
Test Cases/SMS Management,Chrome 97.0.4692.71,,,2022-01-17 09:03:12,2022-01-17 09:03:15,2.845s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:13,2022-01-17 09:03:13,0.397s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_SMSManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:13,2022-01-17 09:03:14,0.729s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_SMSManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:14,2022-01-17 09:03:15,0.883s,PASSED
,,,,,,,
Test Cases/080 Rejection Management,Chrome 97.0.4692.71,,,2022-01-17 09:03:15,2022-01-17 09:03:18,2.782s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:16,2022-01-17 09:03:16,0.392s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_SMSManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:16,2022-01-17 09:03:17,0.706s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_080RejectionManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:17,2022-01-17 09:03:18,0.847s,PASSED
,,,,,,,
Test Cases/Notification Talk Management,Chrome 97.0.4692.71,,,2022-01-17 09:03:23,2022-01-17 09:03:24,1.327s,FAILED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:23,2022-01-17 09:03:23,0.469s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_KakaoNotificationTalkManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:23,2022-01-17 09:03:24,0.836s,FAILED
